images_seen,value
40159,3.996840476989746
40415,4.0458760261535645
40671,4.473364353179932
40927,4.47515344619751
41183,4.438936233520508
41439,4.3473801612854
41695,4.347005844116211
41951,4.239109516143799
42207,4.175614833831787
42463,4.255551815032959
42719,4.252844333648682
42975,4.226115703582764
43231,4.1937255859375
43487,4.1384735107421875
43743,4.124019145965576
43890,4.083272933959961
44146,4.121870040893555
44402,4.390502452850342
44658,4.251372337341309
44914,4.285450458526611
45170,4.034628391265869
45426,3.843348979949951
45682,4.260756015777588
45938,4.337349891662598
46194,4.2462334632873535
46450,4.162473201751709
46706,4.109832286834717
46962,3.9407944679260254
47218,4.241609573364258
47474,4.2119245529174805
47730,4.075467586517334
47986,3.949126720428467
48242,4.07283878326416
48498,4.377709865570068
48754,4.333836555480957
49010,4.180535316467285
49266,4.186049461364746
49522,4.124185562133789
49778,4.211118698120117
50034,4.128528594970703
50290,4.048156261444092
50546,4.035796642303467
50802,3.9043667316436768
51058,3.781200647354126
51205,3.5223541259765625
51461,3.6957437992095947
51717,3.7245373725891113
51973,3.6617703437805176
52229,3.786810874938965
52485,3.8677592277526855
52741,3.9744060039520264
52997,3.656501293182373
53253,3.855375051498413
53509,3.770402669906616
53765,3.8304617404937744
54021,4.316765308380127
54277,4.26298189163208
54533,4.215588092803955
54789,4.284247875213623
55045,3.829573392868042
55301,3.954463243484497
55557,3.955080986022949
55813,3.7358176708221436
56069,3.7908434867858887
56325,3.6619250774383545
56581,3.7290844917297363
56837,3.5431466102600098
57093,3.720925807952881
57349,3.8299999237060547
57605,3.8227341175079346
57861,3.800014019012451
58117,3.7220165729522705
58373,3.689656972885132
58520,3.678253650665283
58776,3.724332332611084
59032,3.658285617828369
59288,3.6104016304016113
59544,3.7976863384246826
59800,3.579545259475708
60056,3.499070405960083
60312,4.153697967529297
60568,5.258875846862793
60824,4.307163715362549
61080,4.053586959838867
61336,4.012442111968994
61592,4.071206092834473
61848,3.7993574142456055
62104,3.857325553894043
62360,3.734926223754883
62616,3.9751901626586914
62872,3.978734016418457
63128,4.023724555969238
63384,3.911111831665039
63640,3.7528388500213623
63896,3.729339599609375
64152,3.4490768909454346
64408,3.7042346000671387
64664,3.8714232444763184
64920,3.621757745742798
65176,3.84135103225708
65432,3.6969118118286133
65688,3.6564767360687256
65835,3.3916406631469727
66091,3.5367116928100586
66347,3.666886568069458
66603,3.5406692028045654
66859,3.755951166152954
67115,3.739032506942749
67371,3.6122684478759766
67627,3.477511405944824
67883,3.691272258758545
68139,3.71549129486084
68395,3.9129960536956787
68651,3.8306801319122314
68907,3.431926965713501
69163,3.4031052589416504
69419,3.3789570331573486
69675,3.3886311054229736
69931,3.7289254665374756
70187,3.4654576778411865
70443,3.478067636489868
70699,3.443861722946167
70955,3.4075050354003906
71211,3.6513094902038574
71467,3.4113643169403076
71723,3.324688673019409
71979,3.4792356491088867
72235,3.6753554344177246
72491,3.50555157661438
72747,3.4138073921203613
73003,3.383151054382324
73150,3.2680766582489014
73406,3.1238293647766113
73662,3.3038597106933594
73918,3.322662353515625
74174,3.4277095794677734
74430,3.311138391494751
74686,3.348137617111206
74942,3.2044010162353516
75198,3.3414440155029297
75454,3.3388426303863525
75710,3.4325783252716064
75966,3.8431742191314697
76222,3.6554951667785645
76478,3.255828857421875
76734,3.1619226932525635
76990,3.6172332763671875
77246,3.543490409851074
77502,3.305276870727539
77758,3.2970328330993652
78014,3.510868549346924
78270,3.183035135269165
78526,3.2720956802368164
78782,3.2695584297180176
79038,3.414562463760376
79294,3.2056338787078857
79550,4.078376770019531
79806,4.474982738494873
80062,3.9976184368133545
80318,3.744622230529785
80465,4.216974258422852
80721,3.579422950744629
80977,3.522904634475708
81233,3.485851526260376
81489,3.462146282196045
81745,3.473881721496582
82001,3.1190364360809326
82257,3.1669113636016846
82513,3.207611560821533
82769,3.228148937225342
83025,3.2585837841033936
83281,3.5423102378845215
83537,3.768541097640991
83793,3.515170097351074
84049,3.397170305252075
84305,3.289118528366089
84561,3.2333409786224365
84817,3.1864113807678223
85073,3.094618558883667
85329,3.0375711917877197
85585,3.067493200302124
85841,2.9467568397521973
86097,3.221149444580078
86353,3.4511728286743164
86609,3.54848051071167
86865,3.236196994781494
87121,3.5677499771118164
87377,3.5704259872436523
87633,3.2667598724365234
